epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0222,1.13571,3.90597,1.23805,0.46791,0.32492,0.45019,0.3191,1.10907,2.72518,1.17873,0.00329218,0.00329218,0.00329218
2,80.1439,1.19399,2.36322,1.23674,0.44616,0.53906,0.50561,0.3474,1.22199,1.63522,1.26583,0.00661677,0.00661677,0.00661677
3,126.562,1.30444,2.38274,1.31736,0.17899,0.40471,0.21271,0.11071,1.59491,4.33086,1.63571,0.00993256,0.00993256,0.00993256
4,170.019,1.436,2.51463,1.39538,0.60494,0.24898,0.31897,0.20152,1.53966,2.40132,1.59767,0.0099604,0.0099604,0.0099604
5,209.471,1.46467,2.47255,1.43854,0.58426,0.37791,0.32482,0.17486,1.54807,3.03729,1.56136,0.0099472,0.0099472,0.0099472
6,249.084,1.44774,2.36678,1.40838,0.53797,0.45942,0.46237,0.31713,1.47326,2.34663,1.51633,0.009934,0.009934,0.009934
7,288.246,1.43931,2.25157,1.39362,0.60044,0.5606,0.65025,0.42354,1.4744,2.40188,1.47722,0.0099208,0.0099208,0.0099208
8,327.643,1.4391,2.16077,1.40163,0.56335,0.54594,0.59584,0.38807,1.43627,3.48808,1.49375,0.0099076,0.0099076,0.0099076
9,368.417,1.41851,2.08202,1.37705,0.60441,0.56451,0.63239,0.43007,1.38772,1.83903,1.4443,0.0098944,0.0098944,0.0098944
10,410.001,1.38244,1.98872,1.3617,0.64582,0.69699,0.68467,0.4599,1.47731,1.82511,1.52196,0.0098812,0.0098812,0.0098812
11,454.433,1.39213,1.98688,1.35463,0.53362,0.40904,0.34255,0.22077,1.39817,2.31454,1.49634,0.009868,0.009868,0.009868
12,497.673,1.35836,1.85472,1.34769,0.6664,0.67939,0.71956,0.5461,1.24873,1.93366,1.31014,0.0098548,0.0098548,0.0098548
13,548.334,1.32262,1.77196,1.32371,0.84082,0.78878,0.85474,0.62258,1.29979,1.50637,1.37208,0.0098416,0.0098416,0.0098416
14,598.703,1.32442,1.73456,1.32911,0.79451,0.79443,0.84183,0.62217,1.25092,1.37856,1.27664,0.0098284,0.0098284,0.0098284
15,645.261,1.33214,1.65349,1.30537,0.77884,0.79508,0.81062,0.59978,1.33066,1.52634,1.33324,0.0098152,0.0098152,0.0098152
16,689.428,1.2792,1.62183,1.29079,0.8056,0.76401,0.80798,0.5876,1.23902,1.86298,1.31967,0.009802,0.009802,0.009802
17,731.752,1.27478,1.56442,1.28577,0.82641,0.83215,0.87215,0.63694,1.25914,1.36182,1.32192,0.0097888,0.0097888,0.0097888
18,774.034,1.24151,1.52327,1.27163,0.82876,0.72606,0.8311,0.62599,1.21089,1.41495,1.29554,0.0097756,0.0097756,0.0097756
19,815.376,1.2731,1.55133,1.26872,0.80658,0.80792,0.86907,0.64817,1.19137,1.40556,1.28733,0.0097624,0.0097624,0.0097624
20,856.803,1.25697,1.47902,1.26276,0.82428,0.81052,0.87633,0.64796,1.17752,1.23864,1.25271,0.0097492,0.0097492,0.0097492
21,897.74,1.23323,1.50226,1.27775,0.89787,0.80442,0.89502,0.67259,1.21996,1.26361,1.27374,0.009736,0.009736,0.009736
22,939.049,1.21918,1.42316,1.25691,0.87094,0.80317,0.86098,0.64519,1.21014,1.24519,1.26847,0.0097228,0.0097228,0.0097228
23,979.591,1.21522,1.42795,1.25355,0.89944,0.78464,0.88278,0.64954,1.22059,1.18497,1.27807,0.0097096,0.0097096,0.0097096
24,1020.87,1.20813,1.3331,1.23702,0.78164,0.7972,0.84824,0.64559,1.19865,1.24186,1.2681,0.0096964,0.0096964,0.0096964
25,1061.99,1.19996,1.34787,1.23776,0.84916,0.81393,0.87903,0.69077,1.17479,1.3326,1.24677,0.0096832,0.0096832,0.0096832
26,1108.41,1.17487,1.3309,1.23632,0.8348,0.86952,0.89681,0.67352,1.16197,1.16664,1.25138,0.00967,0.00967,0.00967
27,1153,1.16303,1.26882,1.20481,0.90869,0.84742,0.89669,0.66928,1.21812,1.18315,1.29204,0.0096568,0.0096568,0.0096568
28,1195.73,1.13548,1.26304,1.21009,0.88127,0.84835,0.89696,0.6933,1.14311,1.14361,1.2286,0.0096436,0.0096436,0.0096436
29,1236.72,1.17674,1.27948,1.22216,0.8695,0.86044,0.88934,0.71131,1.1112,1.2308,1.20504,0.0096304,0.0096304,0.0096304
30,1278.09,1.16503,1.27601,1.21733,0.85826,0.84426,0.9013,0.71362,1.1558,1.13261,1.20422,0.0096172,0.0096172,0.0096172
31,1319.34,1.15181,1.22988,1.20846,0.74966,0.75105,0.80936,0.6355,1.17235,1.3796,1.23554,0.009604,0.009604,0.009604
32,1360.36,1.15168,1.23212,1.21736,0.90203,0.84023,0.90303,0.70761,1.03326,1.15757,1.14426,0.0095908,0.0095908,0.0095908
33,1403.52,1.14689,1.24333,1.20731,0.86923,0.87463,0.90218,0.71985,1.07647,1.23425,1.1771,0.0095776,0.0095776,0.0095776
34,1444.33,1.10986,1.16923,1.18035,0.89406,0.83984,0.89122,0.69159,1.1805,1.17901,1.21724,0.0095644,0.0095644,0.0095644
35,1485.64,1.13323,1.19442,1.19287,0.849,0.82795,0.88536,0.70257,1.12262,1.14399,1.19944,0.0095512,0.0095512,0.0095512
36,1527.2,1.12044,1.16894,1.19626,0.90037,0.86744,0.90906,0.73474,1.12644,1.06343,1.20619,0.009538,0.009538,0.009538
37,1568.48,1.10515,1.13548,1.18652,0.8923,0.8681,0.89408,0.6944,1.15018,1.18743,1.21372,0.0095248,0.0095248,0.0095248
38,1610.02,1.11499,1.14193,1.18538,0.92121,0.83265,0.90755,0.70361,1.14862,1.16635,1.22897,0.0095116,0.0095116,0.0095116
39,1654.24,1.1209,1.12516,1.18894,0.83634,0.8684,0.88257,0.71759,1.10795,1.12375,1.19286,0.0094984,0.0094984,0.0094984
40,1699.32,1.09386,1.11736,1.17875,0.83492,0.78996,0.8513,0.68871,1.08776,1.66915,1.20383,0.0094852,0.0094852,0.0094852
41,1741.16,1.08524,1.10514,1.15895,0.92225,0.8391,0.90112,0.72078,1.11024,1.08971,1.19022,0.009472,0.009472,0.009472
42,1782.68,1.05563,1.06824,1.15196,0.87322,0.84045,0.90822,0.73438,1.11536,0.99746,1.1962,0.0094588,0.0094588,0.0094588
43,1824.36,1.10172,1.10144,1.16868,0.90477,0.86357,0.91816,0.75117,1.06252,1.06947,1.15022,0.0094456,0.0094456,0.0094456
44,1865.53,1.08208,1.08483,1.15553,0.8524,0.86525,0.90683,0.72798,1.07592,1.05535,1.16107,0.0094324,0.0094324,0.0094324
45,1905.87,1.07562,1.05864,1.15558,0.89541,0.87887,0.91946,0.74008,1.08939,0.99857,1.18225,0.0094192,0.0094192,0.0094192
46,1948.42,1.09702,1.0454,1.1659,0.89105,0.88318,0.90278,0.71512,1.08212,1.08302,1.17022,0.009406,0.009406,0.009406
47,1990.34,1.05906,1.03083,1.15358,0.90041,0.83875,0.8997,0.73983,1.06606,1.00139,1.16055,0.0093928,0.0093928,0.0093928
48,2031.77,1.07191,1.05138,1.15561,0.87506,0.88119,0.9056,0.74405,1.08817,1.00621,1.18536,0.0093796,0.0093796,0.0093796
49,2073.14,1.0372,1.04808,1.14831,0.89312,0.87735,0.90654,0.74954,1.06371,0.98772,1.14656,0.0093664,0.0093664,0.0093664
50,2114.88,1.08195,1.06356,1.15941,0.81685,0.81964,0.85785,0.68739,1.10311,1.12322,1.16883,0.0093532,0.0093532,0.0093532
51,2156.73,1.06029,1.05644,1.15548,0.92111,0.86439,0.90515,0.74309,1.08624,1.0072,1.16176,0.00934,0.00934,0.00934
52,2197.41,1.04478,1.01157,1.13822,0.91324,0.88504,0.92231,0.75551,1.04298,0.9659,1.1314,0.0093268,0.0093268,0.0093268
53,2239.6,1.04405,1.00799,1.15072,0.88161,0.88643,0.92404,0.75456,1.07908,1.00106,1.15818,0.0093136,0.0093136,0.0093136
54,2280.39,1.05137,1.01701,1.13582,0.88971,0.89029,0.92072,0.7424,1.0334,0.93559,1.13849,0.0093004,0.0093004,0.0093004
55,2322.13,1.02401,1.01609,1.13395,0.85431,0.87005,0.8978,0.71416,1.0809,1.03802,1.15492,0.0092872,0.0092872,0.0092872
56,2363.2,1.05383,0.99256,1.14213,0.87606,0.88757,0.91566,0.76446,1.00912,0.90839,1.11612,0.009274,0.009274,0.009274
57,2404.36,1.0025,0.95177,1.13103,0.90208,0.8914,0.92156,0.77164,1.02267,0.89118,1.14155,0.0092608,0.0092608,0.0092608
58,2445.78,1.00418,0.92922,1.12129,0.8838,0.86241,0.89998,0.73438,1.10607,1.04228,1.19674,0.0092476,0.0092476,0.0092476
59,2487.93,1.02051,0.9564,1.12156,0.94035,0.87572,0.92548,0.76419,1.06366,0.97175,1.14316,0.0092344,0.0092344,0.0092344
60,2528.52,1.00224,0.95883,1.11454,0.8755,0.86739,0.90563,0.74024,1.03137,0.96848,1.12822,0.0092212,0.0092212,0.0092212
61,2569.88,1.0504,0.98901,1.13151,0.91028,0.87978,0.90936,0.74944,1.04566,0.99598,1.1369,0.009208,0.009208,0.009208
62,2611.24,1.01314,0.92327,1.12709,0.92305,0.8644,0.91293,0.75031,1.05878,0.93465,1.13885,0.0091948,0.0091948,0.0091948
63,2652.24,1.00597,0.93192,1.10905,0.90992,0.90357,0.92826,0.77122,1.02645,0.90686,1.12942,0.0091816,0.0091816,0.0091816
64,2693.52,0.99715,0.91311,1.10064,0.90403,0.86937,0.92735,0.76482,1.0441,0.96647,1.15521,0.0091684,0.0091684,0.0091684
65,2735.02,1.02105,0.94141,1.12539,0.87523,0.87113,0.90131,0.7307,1.08535,1.02262,1.17561,0.0091552,0.0091552,0.0091552
66,2776.34,0.97001,0.89649,1.09078,0.90057,0.86111,0.89872,0.75754,1.04183,1.02565,1.13312,0.009142,0.009142,0.009142
67,2818.92,1.00345,0.89674,1.10901,0.89408,0.85871,0.90773,0.74938,1.04466,0.99066,1.14225,0.0091288,0.0091288,0.0091288
68,2860.75,0.98988,0.9076,1.10553,0.88501,0.87337,0.91666,0.73794,1.12252,0.94526,1.19905,0.0091156,0.0091156,0.0091156
69,2902.31,1.0082,0.92952,1.10402,0.87548,0.89198,0.91856,0.74951,1.10082,1.02196,1.18139,0.0091024,0.0091024,0.0091024
70,2943.84,0.99233,0.8968,1.11126,0.93683,0.87089,0.92669,0.7564,1.08179,0.87326,1.15846,0.0090892,0.0090892,0.0090892
71,2985,0.9997,0.88883,1.10363,0.905,0.86191,0.92137,0.75767,1.07777,0.89418,1.16585,0.009076,0.009076,0.009076
72,3026.49,0.99365,0.88256,1.10427,0.90203,0.89069,0.91907,0.75719,1.08645,0.96382,1.1719,0.0090628,0.0090628,0.0090628
73,3067.69,0.9788,0.87239,1.09631,0.9464,0.87931,0.91812,0.77234,1.03789,0.95291,1.13252,0.0090496,0.0090496,0.0090496
74,3108.5,0.99057,0.88463,1.09923,0.89989,0.8846,0.91985,0.76048,1.05305,0.91772,1.13554,0.0090364,0.0090364,0.0090364
75,3149.35,0.98162,0.8699,1.09194,0.89436,0.90121,0.91318,0.75686,1.06394,0.97039,1.16569,0.0090232,0.0090232,0.0090232
76,3190.71,0.97273,0.88783,1.10249,0.93517,0.86538,0.91898,0.75696,1.09736,0.9499,1.1815,0.00901,0.00901,0.00901
77,3232.15,0.94466,0.84196,1.07573,0.87967,0.87634,0.91862,0.76244,1.01807,1.0157,1.11695,0.0089968,0.0089968,0.0089968
78,3273.85,0.95487,0.93347,1.0834,0.91966,0.88966,0.92136,0.77134,1.0508,0.95169,1.13554,0.0089836,0.0089836,0.0089836
79,3315.18,0.96578,0.85055,1.08867,0.91966,0.88655,0.91809,0.76949,1.04981,0.85646,1.14005,0.0089704,0.0089704,0.0089704
80,3357.06,0.97091,0.84322,1.08555,0.94041,0.87584,0.91999,0.7675,1.08653,0.98726,1.16923,0.0089572,0.0089572,0.0089572
