epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2214,1.11426,2.97959,1.21357,0.79457,0.13303,0.36637,0.25776,1.03638,2.50199,1.08115,0.00329218,0.00329218,0.00329218
2,74.757,1.14769,2.19915,1.20035,0.576,0.60051,0.63504,0.46959,1.21971,1.87188,1.20124,0.00662486,0.00662486,0.00662486
3,113.241,1.29606,2.1812,1.29282,0.54989,0.48898,0.54495,0.3766,1.45457,2.38629,1.43245,0.00995688,0.00995688,0.00995688
4,152.819,1.40123,2.24721,1.36152,0.50223,0.41459,0.42564,0.25895,1.5706,2.36363,1.60008,0.00999703,0.00999703,0.00999703
5,192.304,1.42392,2.10087,1.40181,0.43664,0.49548,0.40261,0.22526,1.66515,2.79259,1.58906,0.00999604,0.00999604,0.00999604
6,231.645,1.43817,2.00973,1.38748,0.25562,0.31594,0.24792,0.14655,1.58918,3.6886,1.5776,0.00999505,0.00999505,0.00999505
7,271.568,1.42491,1.93225,1.37192,0.65614,0.58662,0.67704,0.45601,1.41644,1.952,1.43126,0.00999406,0.00999406,0.00999406
8,312.365,1.42858,1.85494,1.39366,0.57214,0.55443,0.51419,0.32319,1.42275,2.04612,1.47273,0.00999307,0.00999307,0.00999307
9,352.235,1.42511,1.79019,1.37728,0.70077,0.62798,0.74642,0.48946,1.42027,1.72886,1.40399,0.00999208,0.00999208,0.00999208
10,392.418,1.37856,1.71579,1.35115,0.80802,0.43967,0.64396,0.41711,1.40448,1.85125,1.47099,0.00999109,0.00999109,0.00999109
11,432.665,1.40701,1.71372,1.37411,0.54344,0.29615,0.31588,0.1932,1.67414,2.52583,1.80177,0.0099901,0.0099901,0.0099901
12,472.921,1.33994,1.62754,1.33739,0.71142,0.76222,0.77185,0.53855,1.43459,1.61814,1.49793,0.00998911,0.00998911,0.00998911
13,513.318,1.3169,1.55553,1.32682,0.7704,0.78387,0.84134,0.62486,1.24496,1.60526,1.30301,0.00998812,0.00998812,0.00998812
14,553.821,1.31375,1.58384,1.32532,0.89714,0.78539,0.85522,0.65337,1.23813,1.2953,1.30165,0.00998713,0.00998713,0.00998713
15,594.823,1.31732,1.51482,1.29768,0.76185,0.74961,0.81811,0.59364,1.27658,1.36789,1.32906,0.00998614,0.00998614,0.00998614
16,635.691,1.28658,1.47305,1.29193,0.86702,0.76347,0.85334,0.62121,1.27477,1.44973,1.32792,0.00998515,0.00998515,0.00998515
17,676.227,1.28439,1.43006,1.27981,0.76317,0.7926,0.83197,0.58406,1.27564,1.67248,1.30567,0.00998416,0.00998416,0.00998416
